,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5149630914101374,2590430732,2025-03-29 20:27:33,"开始啦！！！<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><a href=/n/李川Leon usercard=""name=@李川Leon"">@李川Leon</a> 主理人李川太帅啦<img alt=""[微风]"" title=""[微风]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c7/2018new_weifeng_thumb.png"" /><img alt=""[微风]"" title=""[微风]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c7/2018new_weifeng_thumb.png"" /><img alt=""[微风]"" title=""[微风]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c7/2018new_weifeng_thumb.png"" />",来自辽宁,5149631353985120,0,1,开始啦！！！[打call][打call][打call]@李川Leon 主理人李川太帅啦[微风][微风][微风],5618288339,Carrotoo陛下丶,https://weibo.com/u/5618288339,〰️〰️这里是喜欢李川的兔纸陛下🐰                                    ᕱ⑅ᕱ 星河滚烫 独宠此川：@李川Leon,其他,f,2365,102,1337,"3,975",237,"6,334","10,546",
1,5149630914101374,2590430732,2025-03-29 21:05:42,"这是真的一针见血了听的我莫名爽<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自黑龙江,5149640957625381,0,0,这是真的一针见血了听的我莫名爽[doge],6207552172,Abac琪,https://weibo.com/u/6207552172,等,黑龙江 绥化,m,365,1397,18240,74,"1,022",571,"1,667",
2,5149630914101374,2590430732,2025-03-29 20:50:41,鸭绒的观点太正确性别不应影响职场,来自云南,5149637174364472,0,7,鸭绒的观点太正确性别不应影响职场,2745448704,各安天涯的你我,https://weibo.com/u/2745448704,,山东 枣庄,m,294,774,58079,"1,281",38,30,"1,349",
3,5149630914101374,2590430732,2025-03-30 01:23:03,转发全是同一个ip的水军，能不能多买几家真一点，舍不得花钱吗,来自浙江,5149705722396783,0,3,转发全是同一个ip的水军，能不能多买几家真一点，舍不得花钱吗,1751603495,御行黑达摩,https://weibo.com/u/1751603495,每进来看一次，cmg都要倒霉二十年,浙江 杭州,m,27,23,0,0,0,0,0,
4,5149630914101374,2590430732,2025-03-29 21:00:00,metoo也要一直存在！！！女性在职场还是比较吃亏的,来自湖北,5149639524483301,0,0,metoo也要一直存在！！！女性在职场还是比较吃亏的,7833992391,其实我对理性的事情很讨厌,https://weibo.com/u/7833992391,恋爱ing,湖北,f,54,1181,31041,237,"2,019",244,"2,500",
5,5149630914101374,2590430732,2025-03-30 02:48:19,"问题在于你出不出差<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,5149727176000129,0,1,问题在于你出不出差[doge],6276498367,茹月似雪,https://weibo.com/u/6276498367,喵喵喵zZ,北京,m,24,421,7,5,0,7,12,
6,5149630914101374,2590430732,2025-04-01 14:44:18,爽,来自山东,5150632135102179,0,0,爽,5592546486,社恐选手柯女士,https://weibo.com/u/5592546486,我的心愿是世界和平,山东 临沂,f,648,211,1438,"3,564",21,"2,458","6,043",
7,5149630914101374,2590430732,2025-03-29 22:55:18,我大学刚毕业来到上海，急需工作稳定，面试了地产中介，人家就说了不要女生，说中介天天在外面跑女生干不下来，呵呵,来自上海,5149668537009914,0,0,我大学刚毕业来到上海，急需工作稳定，面试了地产中介，人家就说了不要女生，说中介天天在外面跑女生干不下来，呵呵,7209953925,用户7209953925,https://weibo.com/u/7209953925,,上海,f,8,60,4,0,0,0,0,
8,5149630914101374,2590430732,2025-03-29 22:35:31,这个发癫的公司是做不大的 井底之蛙,来自广东,5149663561515189,0,0,这个发癫的公司是做不大的 井底之蛙,5531124867,樂哈哈Yangyang,https://weibo.com/u/5531124867,人情冷暖自知,其他,f,139,283,198,11,2,87,100,
9,5149630914101374,2590430732,2025-03-29 20:51:21,女生在职场常因性别面临诸多障碍,来自安徽,5149637342139486,0,0,女生在职场常因性别面临诸多障碍,3202091401,hu110岁月,https://weibo.com/u/3202091401,,北京 东城区,m,166,436,34296,130,1,9,140,
10,5149630914101374,2590430732,2025-03-29 20:51:18,性别不是衡量工作能力的尺度别歧视,来自浙江,5149637330866574,0,0,性别不是衡量工作能力的尺度别歧视,2388962172,昨天今天明天___,https://weibo.com/u/2388962172,如果爱是花，你就是那颗种子。,其他,m,317,1092,28604,36,6,18,60,
